Product ID,Product Name,Category,Price,Stock Quantity,Quantity Sold,AD TYPES,Ad Duration(Mins),Ad Spend($),Click-Through Rate (CTR)(%),Conversion Rate(%),Customer Rating,Review Count,Discount Offered(%),Sales Channel,Geographic Region,Return Rate(%),Customer Demographics,Time of Purchase,Payment Method
P0031,Product 31,Clothing,123.73,467,821,Search Engine Ads,42,4517.98,0.1624,0.0099,4.6,59,29.88,Online,North America,0.1254,Young Adults,Evening,PayPal
P0032,Product 32,Sports,45.95,195,752,Search Engine Ads,40,874.88,0.0558,0.0766,4,54,1.61,Online,South America,0.0772,Middle-aged,Night,Debit Card
P0033,Product 33,Sports,448.98,151,605,Social Media Ads,33,4339.16,0.1302,0.081,3.9,232,28.11,Retail Store,Europe,0.0149,Teenagers,Evening,Cryptocurrency
P0034,Product 34,Beauty,266.95,416,319,Social Media Ads,17,1827.86,0.1062,0.0787,3.7,129,5.75,Retail Store,Europe,0.1133,Teenagers,Evening,Debit Card
P0035,Product 35,Toys,363.2,456,320,Social Media Ads,43,1554.6,0.1775,0.0481,3.8,223,6.02,Online,Australia,0.1618,Middle-aged,Morning,Credit Card
P0036,Product 36,Electronics,231.58,388,44,Display Ads,36,1876.57,0.1899,0.0841,3.9,82,26.42,Online,South America,0.1373,Middle-aged,Afternoon,Cryptocurrency
P0037,Product 37,Clothing,441.42,413,798,Social Media Ads,53,2890.25,0.1633,0.0067,4.2,132,23.81,Retail Store,Europe,0.0301,Teenagers,Morning,PayPal
P0038,Product 38,Clothing,409.27,388,102,Search Engine Ads,20,1944.6,0.1042,0.0523,4.6,258,2.31,Retail Store,Australia,0.1214,Middle-aged,Morning,Credit Card
P0039,Product 39,Toys,113.35,134,266,Social Media Ads,10,2119.04,0.0729,0.0928,4.4,365,0.45,Online,Australia,0.0495,Teenagers,Afternoon,Debit Card
P0040,Product 40,Electronics,494.94,170,429,Search Engine Ads,29,1265.88,0.0509,0.0396,3,242,19.23,Retail Store,Australia,0.2503,Teenagers,Afternoon,Debit Card
P0041,Product 41,Home & Kitchen,232.1,389,206,Search Engine Ads,50,3560.62,0.1068,0.0869,3.8,118,7.22,Online,Asia,0.2302,Middle-aged,Evening,Credit Card
P0042,Product 42,Electronics,19.7,205,114,Social Media Ads,34,3931.64,0.0112,0.0957,4.3,286,23.16,Retail Store,South America,0.0481,Teenagers,Afternoon,PayPal
P0043,Product 43,Electronics,454.88,433,13,Display Ads,23,1471.94,0.0155,0.0609,4.8,153,2.32,Retail Store,Europe,0.0962,Young Adults,Evening,Credit Card
P0044,Product 44,Home & Kitchen,317.04,318,697,Social Media Ads,41,2280.39,0.0942,0.0356,4.6,363,12.86,Online,North America,0.2926,Middle-aged,Morning,Debit Card
P0045,Product 45,Sports,398.53,12,143,Display Ads,24,2575.77,0.0209,0.0621,4.4,493,9,Retail Store,North America,0.0906,Teenagers,Night,Debit Card
P0046,Product 46,Sports,117.9,369,441,Search Engine Ads,60,2253.23,0.1784,0.0523,4.5,485,3.35,Retail Store,North America,0.1072,Middle-aged,Evening,Credit Card
P0047,Product 47,Beauty,383.04,180,338,Social Media Ads,18,4048.1,0.1027,0.0451,4,294,27.25,Online,Europe,0.1028,Seniors,Night,Credit Card
P0048,Product 48,Sports,292.22,243,539,Social Media Ads,59,4750.51,0.1473,0.0105,4.2,113,22.99,Online,Australia,0.2821,Young Adults,Evening,Debit Card
P0049,Product 49,Electronics,441.66,385,90,Search Engine Ads,11,4334.67,0.0734,0.0668,4.5,307,5.18,Retail Store,Europe,0.2866,Seniors,Night,Credit Card
P0050,Product 50,Toys,252.04,235,250,Social Media Ads,24,534.97,0.136,0.0916,3.2,109,17.73,Online,South America,0.1671,Middle-aged,Night,Cryptocurrency
P0051,Product 51,Beauty,227.83,137,979,Social Media Ads,18,116.29,0.1066,0.0862,3.5,159,17.23,Retail Store,Europe,0.231,Seniors,Morning,Credit Card
P0052,Product 52,Electronics,473.6,182,66,Display Ads,55,446.04,0.071,0.0201,4.4,294,13.61,Online,North America,0.1677,Teenagers,Morning,Cryptocurrency
P0053,Product 53,Toys,297.63,81,148,Search Engine Ads,22,2973.57,0.1011,0.0589,3.5,120,5.35,Retail Store,Asia,0.1013,Young Adults,Evening,PayPal
P0054,Product 54,Clothing,363.32,17,775,Social Media Ads,41,139.64,0.168,0.0823,4.4,420,26.76,Online,North America,0.1526,Teenagers,Evening,Credit Card
P0055,Product 55,Clothing,312.96,474,788,Social Media Ads,34,328.96,0.0224,0.0188,3.1,468,5.88,Online,Europe,0.263,Seniors,Morning,Credit Card
P0056,Product 56,Electronics,278.7,304,135,Display Ads,41,2919.28,0.1863,0.0147,3.6,179,13.05,Online,Europe,0.0615,Middle-aged,Evening,Cryptocurrency
P0057,Product 57,Sports,197.96,485,267,Social Media Ads,10,445.81,0.1162,0.0644,2.7,40,12.86,Online,Europe,0.0845,Middle-aged,Evening,PayPal
P0058,Product 58,Beauty,372.52,202,447,Search Engine Ads,41,4170.3,0.1181,0.0666,4.1,34,26.28,Retail Store,South America,0.1068,Seniors,Morning,Debit Card
P0059,Product 59,Toys,411.35,476,442,Search Engine Ads,58,3234.79,0.173,0.0409,5,181,24.92,Retail Store,Australia,0.2877,Seniors,Afternoon,PayPal
P0060,Product 60,Electronics,219.88,476,907,Social Media Ads,30,1541.67,0.1282,0.0345,4.4,238,25.27,Online,Europe,0.0525,Young Adults,Morning,Cryptocurrency
P0061,Product 61,Clothing,49.89,273,67,Display Ads,49,1482.33,0.0333,0.0542,3.4,24,8.28,Retail Store,North America,0.0201,Teenagers,Night,Credit Card
P0062,Product 62,Clothing,77.72,346,290,Social Media Ads,34,514.13,0.0912,0.0612,3.7,18,16.69,Online,South America,0.1852,Seniors,Afternoon,PayPal
P0063,Product 63,Home & Kitchen,390.92,172,145,Search Engine Ads,31,4337.08,0.0139,0.0102,3,274,19.39,Retail Store,North America,0.053,Seniors,Evening,Cryptocurrency
P0064,Product 64,Home & Kitchen,89.06,161,534,Social Media Ads,28,3862.19,0.1663,0.0826,2.6,357,18.38,Online,North America,0.1053,Middle-aged,Evening,Cryptocurrency
P0065,Product 65,Toys,13.22,19,798,Search Engine Ads,13,1102.52,0.1801,0.0211,2.7,79,1.91,Online,Asia,0.2786,Young Adults,Morning,PayPal
P0066,Product 66,Sports,425.46,266,590,Search Engine Ads,14,1403.47,0.0734,0.0972,2.8,64,25.43,Online,South America,0.113,Young Adults,Night,Cryptocurrency
P0067,Product 67,Beauty,243.71,455,209,Search Engine Ads,27,4043.9,0.0874,0.0761,3.5,366,17.06,Online,North America,0.0952,Seniors,Night,Cryptocurrency
P0068,Product 68,Electronics,441.75,489,292,Social Media Ads,60,1802.87,0.0712,0.0781,4.6,116,17.78,Online,Australia,0.081,Middle-aged,Night,Debit Card
P0069,Product 69,Toys,123.67,145,627,Search Engine Ads,41,4553.91,0.19,0.0669,3.5,332,25.71,Online,North America,0.2931,Seniors,Morning,Cryptocurrency
P0070,Product 70,Home & Kitchen,131.02,485,623,Social Media Ads,58,4143.1,0.1002,0.0492,3.6,434,1.25,Retail Store,Australia,0.0318,Seniors,Night,PayPal
P0071,Product 71,Beauty,68.41,79,695,Social Media Ads,20,2559.16,0.1648,0.02,3.9,341,18.58,Online,Europe,0.0982,Teenagers,Night,Cryptocurrency
P0072,Product 72,Electronics,354.25,239,669,Search Engine Ads,27,1443.86,0.0996,0.0077,2.7,28,22.18,Online,Asia,0.2779,Young Adults,Evening,Cryptocurrency
P0073,Product 73,Toys,387.69,487,847,Search Engine Ads,45,725.07,0.1241,0.0376,3.4,330,10.97,Retail Store,Australia,0.0336,Middle-aged,Afternoon,PayPal
P0074,Product 74,Sports,172.44,483,689,Social Media Ads,33,1931.06,0.1673,0.0851,2.6,422,17.77,Retail Store,South America,0.1673,Middle-aged,Afternoon,Cryptocurrency
P0075,Product 75,Clothing,188.52,55,397,Social Media Ads,43,2876.21,0.0571,0.0751,3.8,420,7.68,Retail Store,North America,0.0545,Middle-aged,Afternoon,PayPal
P0076,Product 76,Beauty,291.31,310,239,Search Engine Ads,13,1671.37,0.1757,0.0863,4.4,51,6.07,Online,Australia,0.0452,Middle-aged,Evening,PayPal
P0077,Product 77,Home & Kitchen,271.99,97,125,Display Ads,14,3577.19,0.1972,0.0536,4.7,116,22.32,Online,North America,0.1627,Teenagers,Evening,PayPal
P0078,Product 78,Toys,288.52,393,682,Social Media Ads,48,1180.87,0.1774,0.0558,3.1,316,10.03,Retail Store,Australia,0.2561,Young Adults,Morning,Debit Card
P0079,Product 79,Home & Kitchen,347.77,171,794,Social Media Ads,14,4587.86,0.1362,0.0502,2.8,233,0.46,Retail Store,Asia,0.2521,Middle-aged,Morning,Cryptocurrency
P0080,Product 80,Home & Kitchen,435.87,38,759,Search Engine Ads,40,2094.03,0.198,0.0797,3.7,256,22.48,Online,Asia,0.2293,Seniors,Afternoon,Debit Card
P0081,Product 81,Beauty,415.93,123,698,Search Engine Ads,18,3067.79,0.0215,0.0546,4,170,9.5,Online,Australia,0.0688,Teenagers,Afternoon,Debit Card
P0082,Product 82,Electronics,59.56,265,274,Search Engine Ads,52,3412.83,0.1449,0.0311,4.4,67,22.93,Online,Asia,0.0874,Teenagers,Night,Cryptocurrency
P0083,Product 83,Sports,498.86,129,63,Display Ads,23,1554.69,0.0868,0.0935,3.3,233,18.21,Retail Store,Australia,0.1463,Seniors,Night,Credit Card
P0084,Product 84,Beauty,83.1,227,657,Search Engine Ads,23,4936.08,0.0633,0.0537,4.3,156,14.89,Online,Europe,0.1692,Teenagers,Night,Cryptocurrency
P0085,Product 85,Home & Kitchen,164.92,248,741,Search Engine Ads,24,3768.27,0.1033,0.0954,3.5,483,19.34,Online,Asia,0.0137,Middle-aged,Evening,Credit Card
P0086,Product 86,Home & Kitchen,476.63,431,546,Search Engine Ads,50,1491.79,0.07,0.0559,3.7,198,20.99,Retail Store,Asia,0.2064,Seniors,Evening,Debit Card
P0087,Product 87,Beauty,215.08,273,317,Search Engine Ads,21,1105.01,0.0165,0.0413,4.3,411,25.81,Online,North America,0.2401,Seniors,Evening,Debit Card
P0088,Product 88,Electronics,22.51,212,435,Search Engine Ads,27,1179.52,0.1529,0.0906,4.7,127,22.23,Online,Australia,0.0127,Seniors,Night,Cryptocurrency
P0089,Product 89,Sports,348.57,306,662,Social Media Ads,51,975.91,0.1832,0.0263,2.7,54,15.82,Online,Australia,0.2601,Middle-aged,Afternoon,Debit Card
P0090,Product 90,Electronics,342.74,122,130,Search Engine Ads,54,2122.19,0.108,0.0705,4.6,485,3.42,Retail Store,North America,0.1708,Teenagers,Evening,Credit Card
P0091,Product 91,Home & Kitchen,366.69,131,51,Search Engine Ads,44,138.71,0.1954,0.0214,4.4,120,9.54,Retail Store,Australia,0.2889,Teenagers,Afternoon,Credit Card
P0092,Product 92,Toys,46.72,397,615,Search Engine Ads,17,1463.28,0.0617,0.0927,4.5,454,10.89,Retail Store,North America,0.1905,Seniors,Morning,Credit Card
P0093,Product 93,Clothing,336.78,273,133,Display Ads,26,3949.02,0.0183,0.0293,2.5,72,8.83,Retail Store,Australia,0.1849,Teenagers,Morning,Debit Card
P0094,Product 94,Beauty,50.15,367,179,Search Engine Ads,49,1184.29,0.1826,0.0986,3.6,168,13.17,Retail Store,Asia,0.2971,Seniors,Afternoon,Cryptocurrency
P0095,Product 95,Clothing,114.49,320,779,Search Engine Ads,25,3657.7,0.0918,0.0139,4.7,6,7.38,Online,Australia,0.2293,Young Adults,Afternoon,Credit Card
P0096,Product 96,Sports,349.39,114,465,Social Media Ads,43,1015.26,0.1465,0.025,2.5,411,12.21,Online,South America,0.1045,Seniors,Evening,Credit Card
P0097,Product 97,Toys,497.05,375,488,Social Media Ads,34,1379.14,0.0598,0.0779,4.4,454,4.08,Online,Australia,0.0816,Teenagers,Morning,Credit Card
P0098,Product 98,Clothing,326.44,415,172,Social Media Ads,46,2253.66,0.0496,0.0944,4.9,231,24.29,Online,Asia,0.049,Middle-aged,Morning,PayPal
P0099,Product 99,Home & Kitchen,409.95,349,343,Search Engine Ads,11,3081.28,0.1049,0.0323,3.2,493,11,Online,Asia,0.1038,Middle-aged,Evening,PayPal
P0100,Product 100,Electronics,251.3,26,933,Search Engine Ads,34,2938.04,0.0871,0.0686,2.6,345,27.54,Retail Store,Asia,0.2628,Middle-aged,Afternoon,Cryptocurrency
P0101,Product 101,Beauty,185.69,408,956,Social Media Ads,51,1669.16,0.0127,0.0248,4.1,130,23.81,Online,South America,0.2806,Seniors,Evening,Cryptocurrency
P0102,Product 102,Sports,236.98,341,193,Social Media Ads,20,1937.23,0.1963,0.051,2.8,162,27.34,Online,Asia,0.1543,Teenagers,Evening,Cryptocurrency
P0103,Product 103,Beauty,44.73,58,173,Social Media Ads,51,2733.9,0.1353,0.0108,3.9,367,10.71,Online,Europe,0.2883,Seniors,Evening,Cryptocurrency
P0104,Product 104,Clothing,406.27,193,513,Search Engine Ads,17,3969.36,0.0236,0.0847,2.7,132,8.15,Online,Australia,0.2184,Middle-aged,Evening,Cryptocurrency
P0105,Product 105,Sports,182.43,259,94,Display Ads,31,2046.73,0.1598,0.0602,3.6,140,21.38,Online,North America,0.1812,Teenagers,Night,PayPal
P0106,Product 106,Toys,359.69,336,196,Search Engine Ads,20,2073.05,0.0645,0.0203,3.3,442,25.3,Retail Store,South America,0.1658,Middle-aged,Evening,Credit Card
P0107,Product 107,Sports,431.03,35,760,Search Engine Ads,38,587.84,0.1841,0.0104,3.2,111,28.34,Online,Europe,0.0876,Teenagers,Afternoon,Credit Card
P0108,Product 108,Toys,471.44,121,978,Search Engine Ads,39,4664.58,0.1975,0.0319,4.4,190,3.11,Online,South America,0.1058,Middle-aged,Afternoon,Cryptocurrency
P0109,Product 109,Clothing,140.7,220,600,Search Engine Ads,29,3223.94,0.1034,0.0945,2.8,35,16.08,Retail Store,North America,0.1542,Teenagers,Night,Debit Card
P0110,Product 110,Sports,331.57,217,690,Social Media Ads,25,3308.2,0.1634,0.045,5,356,15.14,Online,South America,0.2003,Young Adults,Night,Cryptocurrency
P0111,Product 111,Electronics,164.09,355,522,Social Media Ads,13,670.45,0.1058,0.0599,4.3,254,17.88,Retail Store,Europe,0.1839,Middle-aged,Morning,Credit Card
P0112,Product 112,Beauty,486.54,92,464,Search Engine Ads,17,2362.13,0.0459,0.0421,4.5,491,18.17,Online,Asia,0.2669,Middle-aged,Evening,Debit Card
P0113,Product 113,Clothing,110.73,141,660,Social Media Ads,36,4124.38,0.185,0.0339,4.9,346,24.41,Retail Store,Australia,0.1674,Young Adults,Afternoon,Cryptocurrency
P0114,Product 114,Beauty,437.86,415,193,Search Engine Ads,14,4034.31,0.0488,0.0981,4.8,415,9.54,Online,Europe,0.172,Middle-aged,Night,Cryptocurrency
P0115,Product 115,Sports,437.07,165,621,Social Media Ads,50,1147.66,0.0317,0.023,4.3,471,27.05,Online,Asia,0.056,Seniors,Afternoon,Credit Card
P0116,Product 116,Sports,372.05,175,946,Search Engine Ads,28,1856.45,0.1579,0.0598,4.8,314,9.52,Retail Store,North America,0.0368,Middle-aged,Afternoon,Credit Card
P0117,Product 117,Electronics,444.58,138,144,Display Ads,36,4742.7,0.061,0.0305,4.9,449,16.49,Online,South America,0.2299,Middle-aged,Evening,Debit Card
P0118,Product 118,Clothing,298.36,112,209,Search Engine Ads,53,4269.91,0.1374,0.0296,4.1,432,8.75,Retail Store,Australia,0.2941,Teenagers,Afternoon,Cryptocurrency
P0119,Product 119,Clothing,339.66,457,58,Social Media Ads,45,3236.56,0.1711,0.0638,4.2,426,24.17,Online,Asia,0.0879,Middle-aged,Evening,Credit Card
P0120,Product 120,Sports,180.23,492,708,Search Engine Ads,9,1932.22,0.0694,0.0969,3,193,9.97,Online,Europe,0.1144,Teenagers,Morning,PayPal
P0121,Product 121,Home & Kitchen,404.59,154,180,Social Media Ads,33,2477.27,0.0274,0.0865,4.8,413,8.16,Retail Store,Australia,0.0344,Middle-aged,Night,Credit Card
P0122,Product 122,Beauty,314,192,103,Social Media Ads,59,4431.86,0.0475,0.0764,3.3,38,18.03,Retail Store,North America,0.2297,Young Adults,Evening,Cryptocurrency
P0123,Product 123,Beauty,90.77,390,969,Social Media Ads,46,3999.23,0.148,0.0072,4.4,223,12.23,Retail Store,Europe,0.2336,Middle-aged,Evening,Debit Card
P0124,Product 124,Electronics,85.1,163,674,Social Media Ads,28,4749.32,0.1468,0.0221,4.3,323,3.13,Retail Store,Asia,0.2619,Teenagers,Morning,PayPal
P0125,Product 125,Toys,266.81,121,471,Search Engine Ads,47,2046.97,0.1827,0.0235,3.4,216,22.75,Online,South America,0.0857,Middle-aged,Night,PayPal
P0126,Product 126,Toys,498.15,56,303,Social Media Ads,37,3772.68,0.0883,0.0676,3.5,228,0.47,Online,South America,0.0139,Middle-aged,Night,Credit Card
P0127,Product 127,Clothing,369.25,342,103,Display Ads,22,4908.17,0.166,0.0834,2.5,105,24.19,Online,Australia,0.1404,Teenagers,Night,Cryptocurrency
P0128,Product 128,Sports,17.03,190,963,Social Media Ads,59,1938.24,0.1025,0.0872,4.2,148,24.28,Retail Store,North America,0.1351,Middle-aged,Evening,PayPal
P0129,Product 129,Toys,299.94,340,387,Search Engine Ads,24,1020.05,0.1109,0.0651,3.6,354,5.21,Online,North America,0.0581,Young Adults,Evening,PayPal
P0130,Product 130,Toys,497.23,295,212,Search Engine Ads,50,2888.82,0.0939,0.0724,3.4,240,4.68,Retail Store,Europe,0.1246,Seniors,Night,Credit Card
P0131,Product 131,Beauty,54.36,401,730,Social Media Ads,36,3260.56,0.0137,0.0645,4.9,356,23.75,Retail Store,Europe,0.0184,Young Adults,Morning,PayPal
P0132,Product 132,Sports,361.13,344,629,Search Engine Ads,12,147.42,0.0284,0.0864,4.3,252,21.9,Online,Australia,0.1468,Young Adults,Morning,PayPal
P0133,Product 133,Beauty,185.04,122,326,Search Engine Ads,8,3049.69,0.0148,0.0546,2.6,84,13.42,Retail Store,North America,0.293,Young Adults,Evening,Credit Card
P0134,Product 134,Sports,239.39,491,553,Search Engine Ads,36,1134.85,0.1269,0.0998,3.4,263,4.32,Online,South America,0.1885,Young Adults,Evening,Debit Card
P0135,Product 135,Sports,213.49,463,184,Social Media Ads,19,4618.76,0.0237,0.0345,2.8,277,22.37,Online,North America,0.2839,Seniors,Afternoon,PayPal
P0136,Product 136,Home & Kitchen,169.93,461,689,Social Media Ads,25,1825.32,0.1201,0.0895,3.8,136,19.59,Online,Asia,0.015,Young Adults,Night,PayPal
P0137,Product 137,Electronics,456.82,434,509,Search Engine Ads,8,4868.8,0.1914,0.0363,4.4,368,12.21,Retail Store,Europe,0.083,Middle-aged,Morning,Credit Card
P0138,Product 138,Beauty,187.63,26,519,Search Engine Ads,33,2557.82,0.0274,0.0396,3.8,28,20.36,Retail Store,North America,0.2811,Young Adults,Morning,Cryptocurrency
P0139,Product 139,Beauty,171.3,47,799,Search Engine Ads,56,4058.02,0.035,0.0576,4.7,157,4.56,Retail Store,North America,0.0543,Seniors,Morning,Credit Card
P0140,Product 140,Toys,209.84,341,279,Social Media Ads,51,467.76,0.0118,0.0453,2.6,441,25.72,Online,South America,0.064,Young Adults,Night,Cryptocurrency
P0141,Product 141,Sports,229.28,26,487,Search Engine Ads,46,1703.49,0.1564,0.0607,2.6,28,20.94,Retail Store,North America,0.0285,Teenagers,Evening,Cryptocurrency
P0142,Product 142,Sports,419.67,249,76,Social Media Ads,37,3417.18,0.0425,0.0502,4.9,423,1.45,Retail Store,Asia,0.1138,Young Adults,Afternoon,Cryptocurrency
P0143,Product 143,Electronics,236.01,413,847,Social Media Ads,56,3672.27,0.0232,0.0422,2.8,52,26.47,Retail Store,Asia,0.0479,Seniors,Morning,Debit Card
P0144,Product 144,Toys,483.81,168,928,Social Media Ads,60,752.01,0.0975,0.0362,4.3,116,3.75,Online,North America,0.205,Seniors,Morning,Credit Card
P0145,Product 145,Home & Kitchen,252.2,496,502,Search Engine Ads,55,3244.29,0.1334,0.0122,3.7,44,7.86,Online,North America,0.0972,Middle-aged,Morning,PayPal
P0146,Product 146,Sports,135.45,464,865,Search Engine Ads,42,3783.22,0.1773,0.0597,2.8,381,24.56,Retail Store,Europe,0.2156,Young Adults,Night,Debit Card
P0147,Product 147,Beauty,290.95,437,596,Search Engine Ads,31,1123.31,0.1116,0.0262,4.6,367,10.39,Retail Store,Australia,0.0562,Seniors,Night,PayPal
P0148,Product 148,Electronics,12.24,240,561,Social Media Ads,59,442.36,0.0172,0.0363,3.7,267,5.45,Retail Store,Asia,0.0404,Seniors,Evening,Credit Card
P0149,Product 149,Beauty,483.98,473,269,Search Engine Ads,32,841.55,0.1116,0.0266,4.5,149,11.35,Retail Store,North America,0.1578,Seniors,Evening,PayPal
P0150,Product 150,Home & Kitchen,340.9,30,95,Search Engine Ads,21,3474.67,0.1211,0.0745,4.3,100,24.2,Online,Australia,0.209,Middle-aged,Night,Debit Card
P0151,Product 151,Clothing,88.14,466,148,Social Media Ads,40,2746.63,0.0701,0.0237,4.5,222,17.14,Online,Europe,0.1522,Teenagers,Evening,Credit Card
P0152,Product 152,Electronics,19.8,489,86,Social Media Ads,35,1598.71,0.1375,0.0459,2.8,9,15.44,Online,Australia,0.2315,Middle-aged,Morning,Cryptocurrency
P0153,Product 153,Toys,36.04,82,546,Social Media Ads,31,2189.62,0.0806,0.095,4.1,37,20.27,Retail Store,North America,0.2946,Teenagers,Evening,Credit Card
P0154,Product 154,Electronics,439.33,184,656,Search Engine Ads,57,214.94,0.1186,0.0857,3.3,181,18.57,Online,South America,0.2936,Seniors,Afternoon,Debit Card
P0155,Product 155,Clothing,269.74,288,165,Social Media Ads,16,830.45,0.0418,0.0954,4.4,243,6.18,Online,Europe,0.0525,Teenagers,Afternoon,Cryptocurrency
P0156,Product 156,Sports,404.93,92,977,Search Engine Ads,53,4598.58,0.0435,0.0309,2.5,422,29.24,Retail Store,Asia,0.1017,Young Adults,Evening,PayPal
P0157,Product 157,Electronics,225.93,271,305,Social Media Ads,57,1672.4,0.1777,0.0233,3.6,263,14.91,Online,Australia,0.1449,Teenagers,Afternoon,Cryptocurrency
P0158,Product 158,Clothing,398.83,169,67,Search Engine Ads,17,1201.58,0.1526,0.0731,2.9,172,0.16,Online,Asia,0.2942,Seniors,Evening,Debit Card
